DB_Name,DD_Name,DD_Type,DD_Size,DD_Decimals
T_ADDITIONALTRANSFERORDERCOST,TL2INTERFACE_BATCH_NUMBER,X,50,0
T_ADDITIONALTRANSFERORDERCOST,TL2LINE_NUMBER,N,17,4
T_ADDITIONALTRANSFERORDERCOST,TL2DISTRIBUTION_OPERATION,X,30,0
T_ADDITIONALTRANSFERORDERCOST,TL2DEFAULT_COST_LINE,X,10,0
T_ADDITIONALTRANSFERORDERCOST,TL2DISTRIBUTION_NUMBER,X,30,0
T_ADDITIONALTRANSFERORDERCOST,TL2DISTRB_AMOUNT,N,17,4
T_ADDITIONALTRANSFERORDERCOST,TL2DISTRB_AMOUNT_CURRENCY_CODE,X,15,0
T_ADDITIONALTRANSFERORDERCOST,TL2DETAIL_TYPE,X,30,0
T_ADDITIONALTRANSFERORDERCOST,TL2PJC_CONTEXT_CATEGORY,X,40,0
T_ADDITIONALTRANSFERORDERCOST,TL2PJC_PROJECT_NUMBER,X,25,0
T_ADDITIONALTRANSFERORDERCOST,TL2PJC_PROJECT_ID,N,17,4
T_ADDITIONALTRANSFERORDERCOST,TL2PJC_TASK_NUMBER,X,100,0
T_ADDITIONALTRANSFERORDERCOST,TL2PJC_TASK_ID,N,17,4
T_ADDITIONALTRANSFERORDERCOST,TL2PJC_EXPENDITURE_ITEM_DATE,D,8,0
T_ADDITIONALTRANSFERORDERCOST,TL2PJC_ORGANIZATION,X,200,0
T_ADDITIONALTRANSFERORDERCOST,TL2PJC_ORGANIZATION_ID,N,17,4
T_ADDITIONALTRANSFERORDERCOST,TL2PJC_EXPENDITURE_TYPE,X,200,0
T_ADDITIONALTRANSFERORDERCOST,TL2PJC_EXPENDITURE_TYPE_ID,N,17,4
T_ADDITIONALTRANSFERORDERCOST,TL2CONTRACT_NUMBER,X,200,0
T_ADDITIONALTRANSFERORDERCOST,TL2PJC_CONTRACT_ID,N,17,4
T_ADDITIONALTRANSFERORDERCOST,TL2FUNDING_SOURCE_NUMBER,X,240,0
T_ADDITIONALTRANSFERORDERCOST,TL2PJC_RESERVED_ATTRIBUTE1,X,150,0
T_AP_INVOICE_ATTACHMENTS,T98ENTITYNAME,X,100,0
T_AP_INVOICE_ATTACHMENTS,T98CATEGORYNAME,X,100,0
T_AP_INVOICE_ATTACHMENTS,T98ALLOWDUPLICATES,X,3,0
T_AP_INVOICE_ATTACHMENTS,T98USERKEYA,X,100,0
T_AP_INVOICE_ATTACHMENTS,T98USERKEYB,X,100,0
T_AP_INVOICE_ATTACHMENTS,T98USERKEYC,X,50,0
T_AP_INVOICE_ATTACHMENTS,T98USERKEYD,X,100,0
T_AP_INVOICE_ATTACHMENTS,T98USERKEYE,X,100,0
T_AP_INVOICE_ATTACHMENTS,T98ATTACHMENTTYPE,X,30,0
T_AP_INVOICE_ATTACHMENTS,T98TITLE,X,240,0
T_AP_INVOICE_ATTACHMENTS,T98CONTENT,X,4000,0
T_AP_INVOICE_INT,TA1INVOICE_ID,X,18,0
T_AP_INVOICE_INT,TA1OPERATING_UNIT,X,60,0
T_AP_INVOICE_INT,TA1SOURCE,X,80,0
T_AP_INVOICE_INT,TA1INVOICE_NUM,X,50,0
T_AP_INVOICE_INT,TA1INVOICE_AMOUNT,N,15,2
T_AP_INVOICE_INT,TA1INVOICE_DATE,D,8,0
T_AP_INVOICE_INT,TA1VENDOR_NAME,X,200,0
T_AP_INVOICE_INT,TA1VENDOR_NUM,X,30,0
T_AP_INVOICE_INT,TA1VENDOR_SITE_CODE,X,15,0
T_AP_INVOICE_INT,TA1INVOICE_CURRENCY_CODE,X,15,0
T_AP_INVOICE_INT,TA1PAYMENT_CURRENCY_CODE,X,15,0
T_AP_INVOICE_INT,TA1DESCRIPTION,X,240,0
T_AP_INVOICE_INT,TA1GROUP_ID,X,40,0
T_AP_INVOICE_INT,TA1INVOICE_TYPE_LOOKUP_CODE,X,25,0
T_AP_INVOICE_INT,TA1LEGAL_ENTITY_NAME,X,50,0
T_AP_INVOICE_INT,TA1CUST_REGISTRATION_NUMBER,X,30,0
T_AP_INVOICE_INT,TA1CUST_REGISTRATION_CODE,X,30,0
T_AP_INVOICE_INT,TA1FIRST_PARTYREGISTRATIONNUM,X,60,0
T_AP_INVOICE_INT,TA1THIRD_PARTYREGISTRATIONNUM,X,60,0
T_AP_INVOICE_INT,TA1TERMS_NAME,X,50,0
T_AP_INVOICE_INT,TA1TERMS_DATE,D,8,0
T_AP_INVOICE_INT,TA1GOODS_RECEIVED_DATE,D,8,0
T_AP_INVOICE_INT,TA1INVOICE_RECEIVED_DATE,D,8,0
T_AP_INVOICE_INT,TA1GL_DATE,D,8,0
T_AP_INVOICE_INT,TA1PAYMENT_METHOD_CODE,X,30,0
T_AP_INVOICE_INT,TA1PAY_GROUP_LOOKUP_CODE,X,25,0
T_AP_INVOICE_INT,TA1EXCLUSIVE_PAYMENT_FLAG,X,1,0
T_AP_INVOICE_INT,TA1AMT_APPL_TO_DISCOUNT,N,15,2
T_AP_INVOICE_INT,TA1PREPAY_NUM,X,50,0
T_AP_INVOICE_INT,TA1PREPAY_LINE_NUM,N,12,0
T_AP_INVOICE_INT,TA1PREPAY_APPLY_AMOUNT,X,22,0
T_AP_INVOICE_INT,TA1PREPAY_GL_DATE,D,8,0
T_AP_INVOICE_INT,TA1INVOICE_INCLUDESPREPAYFLAG,X,1,0
T_AP_INVOICE_INT,TA1EXCHANGE_RATE_TYPE,X,30,0
T_AP_INVOICE_INT,TA1EXCHANGE_DATE,D,8,0
T_AP_INVOICE_INT,TA1EXCHANGE_RATE,N,15,6
T_AP_INVOICE_INT,TA1ACCTS_PAY_CODE_CONCATENATED,X,250,0
T_AP_INVOICE_INT,TA1DOC_CATEGORY_CODE,X,30,0
T_AP_INVOICE_INT,TA1VOUCHER_NUM,X,50,0
T_AP_INVOICE_INT,TA1REQUESTER_FIRST_NAME,X,150,0
T_AP_INVOICE_INT,TA1REQUESTER_LAST_NAME,X,150,0
T_AP_INVOICE_INT,TA1REQUESTER_EMPLOYEE_NUM,X,30,0
T_AP_INVOICE_INT,TA1DELIVERY_CHANNEL_CODE,X,30,0
T_AP_INVOICE_INT,TA1BANK_CHARGE_BEARER,X,30,0
