applaud_table,status,prefix,fbdi_mappings
T_ADDITIONALTRANSFERORDERCOST,MAPPED,TL2,DosSupplyOrderImportTemplate / Additional Transfer Order Costs
T_AP_INVOICE_ATTACHMENTS,UNMAPPED,T98,
T_AP_INVOICE_INT,UNMAPPED,TA1,
T_AP_INVOICE_LINES,UNMAPPED,T99,
T_AR_RECEIPTS,UNMAPPED,TA2,
T_ASSIGNMENT,UNMAPPED,TA5,
T_ASSIGNMENTSUPERVISOR,UNMAPPED,TA6,
T_ASSIGNMENTWORKMEASURE,UNMAPPED,TA7,
T_AWARDS,MAPPED,TE1,ImportAwards / Awards
T_AWARD_BUDGET_PERIODS,MAPPED,TF2,ImportAwards / Award Budget Periods
T_AWARD_CERTIFICATIONS,MAPPED,TE7,ImportAwards / Award Certifications
T_AWARD_FED_DOM_ASSIST_PRG,MAPPED,TE9,ImportAwards / Award Assistance Listing Number
T_AWARD_FUNDING,MAPPED,TF5,ImportAwards / Award Funding
T_AWARD_FUNDING_ALLOCATIONS,MAPPED,TF6,ImportAwards / Award Funding Allocations
T_AWARD_FUNDING_SOURCE,MAPPED,TE2,ImportAwards / Award Funding Sources
T_AWARD_KEYWORDS,MAPPED,TE5,ImportAwards / Award Keywords; ImportGrantsPersonnel / Grants Personnel Keywords
T_AWARD_ORGANIZATION_CREDITS,MAPPED,TF3,ImportAwards / Award Organization Credits
T_AWARD_PERSONNEL,MAPPED,TF4,ImportAwards / Award Personnel
T_AWARD_PRJ_TASK_BURDEN_SCHED,MAPPED,TF7,ImportAwards / Award Prj Task Burden Schedules
T_AWARD_PROJECTS,MAPPED,TE3,ImportAwards / Award Projects
T_AWARD_PROJECT_FUNDING_SOURCE,MAPPED,TE4,ImportAwards / Award Project Funding Sources
T_AWARD_REFERENCES,MAPPED,TE6,ImportAwards / Award References
T_AWARD_TERMS_AND_CONDITIONS,MAPPED,TE8,ImportAwards / Award Terms and Conditions
T_BANKS,MAPPED,T31,RapidImplementationForCashManagement / Bank Account
T_BANKS_BRANCHES,UNMAPPED,T32,
